source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0046864,isoprenoid transport,0.04605609920737766,True,"""The directed movement of isoprenoids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Isoprenoids comprise a group of compounds containing or derived from linked isoprene (3-methyl-2-butenylene) residues."" [GOC:ai]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,['GO:0006869']
GO:BP,GO:0097089,methyl-branched fatty acid metabolic process,0.04605609920737766,True,"""The chemical reactions and pathways involving methyl-branched fatty acids, aliphatic monocarboxylic acids with methyl branches on the main chain."" [GOC:rs, PMID:19933331]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,['GO:0006631']
GO:BP,GO:0090497,mesenchymal cell migration,0.04605609920737766,True,"""The orderly movement of a mesenchymal cell from one site to another, often during the development of a multicellular organism."" [GOC:dph, GOC:tb]",51,1831,12,18452,0.006553795740032769,0.23529411764705882,query_1,['GO:0001667']
GO:BP,GO:0019401,alditol biosynthetic process,0.04605609920737766,True,"""The chemical reactions and pathways resulting in the formation of alditols, any polyhydric alcohol derived from the acyclic form of a monosaccharide by reduction of its aldehyde or keto group to an alcoholic group."" [ISBN:0198506732]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,"['GO:0016051', 'GO:0046173']"
GO:BP,GO:0019470,trans-4-hydroxy-L-proline catabolic process,0.04605609920737766,True,"""The chemical reactions and pathways resulting in the breakdown of trans-4-hydroxy-L-proline, C5H9NO3, a derivative of the amino acid proline."" [GOC:ai]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,"['GO:0042219', 'GO:0170035', 'GO:0170044']"
GO:BP,GO:0006562,L-proline catabolic process,0.04605609920737766,True,"""The chemical reactions and pathways resulting in the breakdown of L-proline (pyrrolidine-2-carboxylic acid), a chiral, cyclic, nonessential alpha-amino acid found in peptide linkage in proteins."" [GOC:jl, ISBN:0198506732]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,"['GO:0006560', 'GO:0170035', 'GO:0170040']"
GO:BP,GO:0006522,alanine metabolic process,0.04605609920737766,True,"""The chemical reactions and pathways involving alanine, 2-aminopropanoic acid."" [GOC:go_curators]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,['GO:1901605']
GO:BP,GO:0006114,glycerol biosynthetic process,0.04605609920737766,True,"""The chemical reactions and pathways resulting in the formation of glycerol, 1,2,3-propanetriol, a sweet, hygroscopic, viscous liquid, widely distributed in nature as a constituent of many lipids."" [GOC:ai, ISBN:0198506732]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,"['GO:0006071', 'GO:0019401']"
GO:BP,GO:0008016,regulation of heart contraction,0.04630391597640189,True,"""Any process that modulates the frequency, rate or extent of heart contraction. Heart contraction is the process in which the heart decreases in volume in a characteristic way to propel blood through the body."" [GOC:dph, GOC:go_curators, GOC:tb]",166,1831,28,18452,0.015292190060076462,0.1686746987951807,query_1,"['GO:0060047', 'GO:1903522']"
GO:BP,GO:0014032,neural crest cell development,0.046373791094893264,True,"""The process aimed at the progression of a neural crest cell over time, from initial commitment of the cell to its specific fate, to the fully functional differentiated cell."" [GOC:dh, GOC:ef]",71,1831,15,18452,0.008192244675040962,0.2112676056338028,query_1,"['GO:0014033', 'GO:0048864']"
